dates,cyclist_type,avg_ride_length,total_riders
5/16/2022,casual,30.97999014,9792
5/16/2022,member,13.54547596,14144
5/17/2022,casual,26.1634612,6396
5/17/2022,member,12.24486794,12374
5/18/2022,casual,20.14868298,4924
5/18/2022,member,11.69145669,10057
5/19/2022,casual,32.48240756,11418
5/19/2022,member,14.28005014,15652
5/20/2022,casual,26.37291612,9403
5/20/2022,member,13.07495961,12275
5/21/2022,casual,24.76547509,6184
5/21/2022,member,13.23815781,7040
5/22/2022,casual,33.27693918,11545
5/22/2022,member,15.07714318,10905
5/23/2022,casual,25.22464647,6748
5/23/2022,member,12.17941938,11839
5/24/2022,casual,21.42857272,7307
5/24/2022,member,12.35963603,13200
5/25/2022,casual,21.12917048,5021
5/25/2022,member,12.15247661,9723
5/26/2022,casual,23.27967557,8845
5/26/2022,member,12.82075353,13999
5/27/2022,casual,22.1435455,6745
5/27/2022,member,12.0525183,9615
5/28/2022,casual,32.76917312,18902
5/28/2022,member,15.234179,13022
5/29/2022,casual,34.110405,21143
5/29/2022,member,16.20073248,12236
5/30/2022,casual,35.12410782,18314
5/30/2022,member,16.39351141,12163
5/31/2022,casual,25.21949287,9228
5/31/2022,member,13.19910564,13758
6/1/2022,casual,24.53350203,8677
6/1/2022,member,12.64408374,13813
6/2/2022,casual,24.81351767,10253
6/2/2022,member,13.59702189,14653
6/3/2022,casual,34.22510193,14097
6/3/2022,member,13.83403294,14787
6/4/2022,casual,30.2160123,13888
6/4/2022,member,13.78950432,11729
6/5/2022,casual,35.08020622,15735
6/5/2022,member,15.49187523,12606
6/6/2022,casual,21.55830251,5193
6/6/2022,member,12.7984754,8813
6/7/2022,casual,26.18731549,7692
6/7/2022,member,13.48335231,12943
6/8/2022,casual,19.36557052,5521
6/8/2022,member,12.04746774,10677
6/9/2022,casual,34.74157077,11249
6/9/2022,member,14.70318091,14596
6/10/2022,casual,29.93588707,10604
6/10/2022,member,12.83056599,12643
6/11/2022,casual,34.71617921,18681
